date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-04-21,27276.91015625,50.0,7278,-0.5572005383580081,12.001867995018678,42,0.428025517482
2023-04-22,27817.5,53.0,7095,-0.5551601423487544,10.401618929016188,42,0.011304978938
2023-04-23,27591.384765625,56.0,8167,-0.478,10.401618929016188,43,-0.092230541897
2023-04-24,27525.33984375,53.0,9788,-0.5263813876194433,11.868792307205666,42,0.461377460779
2023-04-25,28307.59765625,53.0,8299,-0.5320356853203568,11.218447523249193,42,0.490964348701
2023-04-26,28422.701171875,56.0,8738,-0.5055908129344213,12.844309483140378,42,1.353521159381
2023-04-27,29473.787109375,59.0,8444,-0.5026521060842434,11.218447523249193,41,0.672593433746
2023-04-28,29340.26171875,64.0,7856,-0.1219656601539372,11.218447523249193,42,0.328129877185
2023-04-29,29248.48828125,64.0,7383,-0.3518601523980278,9.917757955336242,42,-0.09518792079
2023-04-30,29268.806640625,60.0,8217,-0.3845497225778916,9.592585563358003,42,0.028342740814
2023-05-01,28091.568359375,63.0,7994,-0.6380217467555244,11.994724025974026,42,0.411477664622
2023-05-02,28680.537109375,55.0,7921,-0.5264078349073102,11.299377705627704,42,0.481813186454
2023-05-03,29006.30859375,64.0,9107,-0.5854572713643178,11.125541125541124,42,0.685879502554
2023-05-04,28847.7109375,64.0,9396,-0.4897159647404505,11.647050865800864,41,0.370641024935
2023-05-05,29534.384765625,61.0,8624,-0.508957654723127,11.125541125541124,42,0.31202411611
2023-05-06,28904.623046875,60.0,8109,-0.5708935259497058,10.430194805194803,41,-0.117312884544
2023-05-07,28454.978515625,64.0,7020,-0.5645908389089037,10.256358225108224,42,-0.366050419468
2023-05-08,27694.2734375,60.0,7037,-0.6207892204042348,10.810690800623684,41,0.500414602563
2023-05-09,27658.775390625,51.0,6862,-0.6181205540995882,9.9221408718053,42,0.619220292195
2023-05-10,27621.755859375,52.0,7166,-0.5215181294476449,9.774049217002236,41,0.841722349361
2023-05-11,27000.7890625,52.0,7715,-0.4624860022396416,9.774049217002236,42,0.057100484013
2023-05-12,26804.990234375,49.0,8003,-0.3962648556876061,9.9221408718053,41,0.233804835846
2023-05-13,26784.078125,48.0,6979,-0.2898852971845672,8.293132668971595,41,-0.671016963642
2023-05-14,26930.638671875,48.0,6808,-0.4038216560509554,7.700766049759339,42,-0.591160242153
2023-05-15,27192.693359375,50.0,7154,-0.394856278366112,9.241881732930324,42,-0.035273582226
2023-05-16,27036.650390625,54.0,7929,-0.4361001317523056,9.241881732930324,42,-0.223519150832
2023-05-17,27398.802734375,50.0,9053,-0.4820872274143302,8.923196155932727,42,-0.030002592085
2023-05-18,26832.208984375,51.0,8616,-0.4466101694915254,9.560567309927924,41,-0.03705088459
2023-05-19,26890.12890625,48.0,8414,-0.3009166998804304,8.923196155932727,41,0.390194811317
2023-05-20,27129.5859375,48.0,6545,-0.1079851055026892,8.126482213438733,42,0.029038991366
2023-05-21,26753.826171875,52.0,6865,-0.1000415110004151,8.285825001937534,42,0.113207852271
2023-05-22,26851.27734375,49.0,7766,-0.2055538786598249,10.029843893480257,42,4.200984011723
2023-05-23,27225.7265625,50.0,7527,-0.2667838312829525,9.69551576369758,42,0.836296622466
2023-05-24,26334.818359375,50.0,6923,-0.4392523364485981,9.361187633914906,41,0.16148431854
