date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score
2021-06-18,35787.24609375,25.0,18044,-0.6382113821138211,26.7078431372549,61
2021-06-19,35615.87109375,23.0,15534,-0.592391304347826,24.279857397504458,71
2021-06-20,35698.296875,21.0,15696,-0.6135265700483091,27.92183600713013,58
2021-06-21,31676.693359375,23.0,19225,-0.6710526315789473,21.566433566433563,67
2021-06-22,32505.66015625,10.0,21093,-0.7387914230019493,29.65384615384616,72
2021-06-23,33723.02734375,14.0,17439,-0.6819407008086253,20.89248251748252,57
2021-06-24,34662.4375,22.0,16491,-0.5359477124183006,18.19667832167832,66
2021-06-25,31637.779296875,27.0,15563,-0.5714285714285714,18.19667832167832,64
2021-06-26,32186.27734375,20.0,13971,-0.6131687242798354,16.174825174825173,62
2021-06-27,34649.64453125,22.0,14065,-0.5573770491803278,15.500874125874123,61
2021-06-28,34434.3359375,25.0,14025,-0.5528455284552846,9.70250679553005,67
2021-06-29,35867.77734375,25.0,13393,-0.5649867374005305,8.926306251887645,72
2021-06-30,35040.8359375,28.0,13985,-0.6356107660455487,8.150105708245244,60
2021-07-01,33572.1171875,28.0,17427,-0.6781326781326781,23.286016309272124,61
2021-07-02,33897.046875,21.0,14570,-0.7306122448979592,22.50981576562972,76
2021-07-03,34668.546875,24.0,12428,-0.5978552278820375,20.95741467834491,68
2021-07-04,35287.78125,27.0,12984,-0.7663366336633664,23.286016309272124,71
2021-07-05,33746.00390625,29.0,12792,-0.678082191780822,17.82511766162992,71
2021-07-06,34235.1953125,20.0,13659,-0.7295492487479132,18.143423334159028,63
2021-07-07,33855.328125,28.0,11663,-0.6322418136020151,15.915283626455286,70
2021-07-08,32877.37109375,20.0,12031,-0.6660617059891107,17.506811989100818,65
2021-07-09,33798.01171875,20.0,13122,-0.7608695652173914,17.506811989100818,76
2021-07-10,33520.51953125,20.0,13137,-0.6094674556213018,14.96036660886797,60
2021-07-11,34240.1875,20.0,15438,-0.6296296296296297,14.96036660886797,70
2021-07-12,33155.84765625,25.0,15111,-0.6878612716763006,19.36123069131425,62
2021-07-13,32702.025390625,20.0,16207,-0.696,19.36123069131425,62
2021-07-14,32822.34765625,21.0,13882,-0.74,20.120494639993243,66
2021-07-15,31780.73046875,20.0,12224,-0.7133333333333334,20.120494639993243,64
2021-07-16,31421.5390625,22.0,11291,-0.6814159292035398,20.500126614332743,59
2021-07-17,31533.068359375,15.0,10517,-0.5081967213114754,18.22233476829577,59
2021-07-18,31796.810546875,19.0,11145,-0.5561643835616439,18.601966742635263,55
2021-07-19,30817.83203125,24.0,11809,-0.6384439359267735,20.130761099365746,66
2021-07-20,29807.34765625,19.0,13761,-0.6531165311653117,26.487843551797035,75
2021-07-21,32110.693359375,10.0,12930,-0.6032171581769437,24.36881606765328,70
2021-07-22,32313.10546875,21.0,12792,-0.6558441558441559,22.602959830866805,70
2021-07-23,33581.55078125,23.0,12208,-0.7241379310344828,19.071247357293867,79
